pais;codigo;ano;expectativa_vida;pib_per_capita;populacao;continente
Honduras;HND;1983;62,1;2947;4137786;North America
Hong Kong;HKG;1983;75,8;19349;5252129;Asia
Hungary;HUN;1983;68,9;10401;10620933;Europe
Iceland;ISL;1983;76,5;24605;237139;Europe
India;IND;1983;55,3;1663;745826560;Asia
Indonesia;IDN;1983;60,3;2994;158790608;Asia
Iran;IRN;1983;58,7;7108;44027988;Asia
Iraq;IRQ;1983;60,1;6805;14903738;Asia
Ireland;IRL;1983;73,2;13931;3472904;Europe
Israel;ISR;1983;74,7;18468;3979099;Asia
Italy;ITA;1983;74,7;21345;56607516;Europe
Jamaica;JAM;1983;70,2;5117;2232789;North America
Japan;JPN;1983;77,1;22805;119793752;Asia
Jordan;JOR;1983;67,6;7262;2514792;Asia
Kazakhstan;KAZ;1983;63,7;11735;14885973;Asia
Kenya;KEN;1983;61;1627;18069468;Africa
Kuwait;KWT;1983;72;14292;1736039;Asia
Kyrgyzstan;KGZ;1983;62,3;5992;3922269;Asia
Laos;LAO;1983;50;1283;3543868;Asia
Latvia;LVA;1983;69,3;14376;2623160;Europe
Lebanon;LBN;1983;60;3402;3106996;Asia
Lesotho;LSO;1983;58,1;1561;1530334;Africa
Liberia;LBR;1983;45,4;3572;2109151;Africa
Libya;LBY;1983;66,4;6237;3423595;Africa
Lithuania;LTU;1983;70,9;13718;3612642;Europe
Luxembourg;LUX;1983;72,9;25738;365448;Europe
Madagascar;MDG;1983;49,6;1395;9740092;Africa
Malawi;MWI;1983;46;913;7058317;Africa
Malaysia;MYS;1983;69,6;6529;14292864;Asia
Mali;MLI;1983;42,1;1057;7863941;Africa
Malta;MLT;1983;72,6;9586;342891;Europe
Mauritania;MRT;1983;56,7;1553;1646348;Africa
Mauritius;MUS;1983;67,2;7516;998001;Africa
Mexico;MEX;1983;66,6;9656;72080312;North America
Moldova;MDA;1983;65,7;10378;4218424;Europe
Mongolia;MNG;1983;56,2;1876;1825782;Asia
Montenegro;MNE;1983;71,2;7610;599337;Europe
Morocco;MAR;1983;57,7;3606;21287382;Africa
Mozambique;MOZ;1983;40,8;1694;12163331;Africa
Myanmar;MMR;1983;55,2;1451;35424268;Asia
Namibia;NAM;1983;58;5734;1033091;Africa
Nepal;NPL;1983;49,4;1076;16740666;Asia
Netherlands;NLD;1983;76,3;23086;14369651;Europe
New Zealand;NZL;1983;73,8;21015;3219831;Oceania
Nicaragua;NIC;1983;56,8;3437;3584608;North America
Niger;NER;1983;40,4;1180;6766616;Africa
Nigeria;NGA;1983;46,6;1631;79351592;Africa
North Macedonia;MKD;1983;69,5;9728;1974443;Europe
Norway;NOR;1983;76,1;24924;4128576;Europe
Oman;OMN;1983;64,2;8521;1204630;Asia
Pakistan;PAK;1983;58,9;2077;91080376;Asia
Palestine;PSE;1983;64,2;4733;1604103;Asia
Panama;PAN;1983;70,3;7186;2098504;North America
Paraguay;PRY;1983;65,6;4935;3343279;South America
Peru;PER;1983;60,2;5729;18826906;South America
Philippines;PHL;1983;63;3837;52219692;Asia
Poland;POL;1983;70,8;8764;36536140;Europe
Portugal;PRT;1983;72,7;13158;9943827;Europe
Puerto Rico;PRI;1983;73,5;12428;3339378;North America
Qatar;QAT;1983;71,7;23146;330461;Asia
Romania;ROU;1983;69,3;5960;22403760;Europe
Russia;RUS;1983;66,9;12420;140854112;Europe
Rwanda;RWA;1983;51,3;1722;5859395;Africa
Saint Lucia;LCA;1983;69,9;3229;128455;North America
Sao Tome and Principe;STP;1983;59,4;2656;102664;Africa
Saudi Arabia;SAU;1983;65,1;17315;11746019;Asia
Senegal;SEN;1983;51,2;2153;6171882;Africa
Serbia;SRB;1983;68,4;10707;7866039;Europe
Seychelles;SYC;1983;67,1;5638;66879;Africa
Sierra Leone;SLE;1983;43,8;1575;3585781;Africa
Singapore;SGP;1983;72,7;15720;2564775;Asia
Slovenia;SVN;1983;70,2;20451;1937239;Europe
South Africa;ZAF;1983;61,5;6554;31865176;Africa
South Korea;KOR;1983;67,1;7611,733887;40053744;Asia
Spain;ESP;1983;76,1;14237;38169764;Europe
Sri Lanka;LKA;1983;70,1;3268;15658448;Asia
Sweden;SWE;1983;76,6;24412;8355111;Europe
Switzerland;CHE;1983;76,2;28009,32813;6418416;Europe
Syria;SYR;1983;67,8;10581;9835461;Asia
Taiwan;TWN;1983;72,5;9530;18976102;Asia
Tajikistan;TJK;1983;59,8;5547;4401499;Asia
Tanzania;TZA;1983;51,5;875;21170722;Africa
Thailand;THA;1983;65,8;4538;48670568;Asia
Togo;TGO;1983;52,6;1211;3126633;Africa
Trinidad and Tobago;TTO;1983;67,9;16982;1171278;North America
Tunisia;TUN;1983;66,1;4844;7091271;Africa
Turkey;TUR;1983;64,1;6489;47026424;Asia
Turkmenistan;TKM;1983;61,8;6535;3082203;Asia
Uganda;UGA;1983;43,5;1014;14228930;Africa
Ukraine;UKR;1983;69,2;9288;50563952;Europe
United Arab Emirates;ARE;1983;69,9;32737;1237582;Asia
United Kingdom;GBR;1983;74,3;21366;56501616;Europe
United States;USA;1983;74,5;30158;230389968;North America
Uruguay;URY;1983;71,5;8950;2993291;South America
Uzbekistan;UZB;1983;63,8;7672;17152856;Asia
Venezuela;VEN;1983;70,2;14155;16509603;South America
Vietnam;VNM;1983;67,1;1333;57011452;Asia
Yemen;YEM;1983;53,9;3827;10237395;Asia
Zambia;ZMB;1983;53,4;1320;6291082;Africa
Zimbabwe;ZWE;1983;60,2;2190;8106359;Africa
Afghanistan;AFG;1984;33,3;1337;10243689;Asia
Albania;ALB;1984;71,5;3826;3131731;Europe
Algeria;DZA;1984;61,7;5361;21393532;Africa
Angola;AGO;1984;42,4;1259;9617709;Africa
Argentina;ARG;1984;69,2;11837;29832200;South America
Armenia;ARM;1984;67,5;10181;3272111;Asia
Australia;AUS;1984;75,5;24009;15579478;Oceania
Austria;AUT;1984;73,8;23016;7558564;Europe
Azerbaijan;AZE;1984;62;8360;6777233;Asia
Bahrain;BHR;1984;72;7264;419228;Asia
Bangladesh;BGD;1984;53,5;918;93534248;Asia
Barbados;BRB;1984;72,6;11772;257291;North America
Belarus;BLR;1984;69,9;10957;10069354;Europe
Belgium;BEL;1984;74,4;23644;9873600;Europe
Benin;BEN;1984;49,7;1809;4293077;Africa
Bolivia;BOL;1984;53;3561;6251924;South America
Bosnia and Herzegovina;BIH;1984;71;6843;4349602;Europe
Botswana;BWA;1984;62,4;3124;1099177;Africa
Brazil;BRA;1984;63,8;7438;133888776;South America
Bulgaria;BGR;1984;71,4;10249;8939492;Europe
Burkina Faso;BFA;1984;48,6;1129;7751478;Africa
Burundi;BDI;1984;48,5;968;4842271;Africa
Cambodia;KHM;1984;50,2;1476;7133905;Asia
Cameroon;CMR;1984;53,2;2450;9508581;Africa
Canada;CAN;1984;76,4;26836;25602080;North America
Cape Verde;CPV;1984;61,7;1626;335481;Africa
Central African Republic;CAF;1984;50,5;1146;2523549;Africa
Chad;TCD;1984;44,5;601;4920557;Africa
Chile;CHL;1984;70,5;7992;12147764;South America
China;CHN;1984;66,3;2444;1044172224;Asia
Colombia;COL;1984;68;6741;28689038;South America
Comoros;COM;1984;52,9;1168;365671;Africa
Congo;COG;1984;57,5;4664;2001746;Africa
Costa Rica;CRI;1984;75,1;7065;2696205;North America
Cote d'Ivoire;CIV;1984;53;2703;9621410;Africa
Croatia;HRV;1984;70,2;14104;4776375;Europe
Cuba;CUB;1984;73,5;5051;10065537;North America
Cyprus;CYP;1984;72,3;11330;719687;Europe
Czechia;CZE;1984;70,9;12573;10299713;Europe
Democratic Republic of Congo;COD;1984;46,4;932;29879850;Africa
Denmark;DNK;1984;74,6;26581;5121317;Europe
Djibouti;DJI;1984;53,7;2944;382169;Africa
Dominica;DMA;1984;72;2802;71957;North America
Dominican Republic;DOM;1984;63,6;3830;6282107;North America
Ecuador;ECU;1984;65,2;6336;9022978;South America
Egypt;EGY;1984;59,7;3810;48676444;Africa
El Salvador;SLV;1984;54,8;3357;4782222;North America
Equatorial Guinea;GNQ;1984;49,2;2437;358004;Africa
Estonia;EST;1984;69,3;16660;1516125;Europe
Eswatini;SWZ;1984;60;2858;677313;Africa
Ethiopia;ETH;1984;36,4;956;39202892;Africa
Finland;FIN;1984;74,7;22486;4881748;Europe
France;FRA;1984;75,2;24519;54845984;Europe
Gabon;GAB;1984;58,9;8612;833417;Africa
Gambia;GMB;1984;47,5;1462;824805;Africa
Georgia;GEO;1984;68;13128;5299790;Asia
Germany;DEU;1984;74,4;23564;77568576;Europe
Ghana;GHA;1984;52,1;1530;13342483;Africa
Greece;GRC;1984;75,8;14453;9740384;Europe
Guatemala;GTM;1984;59,6;5469;7718977;North America
Guinea;GIN;1984;44,9;824;5402102;Africa
Guinea-Bissau;GNB;1984;44,8;1162;886217;Africa
Haiti;HTI;1984;51,1;1803;6119933;North America
Honduras;HND;1984;62,6;2968;4261929;North America
Hong Kong;HKG;1984;76,1;21042;5333577;Asia
Hungary;HUN;1984;69;10696;10580910;Europe
Iceland;ISL;1984;77,4;25357;239680;Europe
India;IND;1984;55,8;1690;762895168;Asia
Indonesia;IDN;1984;60,7;3134;162331968;Asia
Iran;IRN;1984;61,2;6951;45628400;Asia
Iraq;IRQ;1984;60,2;6593;15377037;Asia
Ireland;IRL;1984;73,6;14435;3490937;Europe
Israel;ISR;1984;75;18305;4077001;Asia
Italy;ITA;1984;75,5;21868;56620236;Europe
Jamaica;JAM;1984;70,3;5059;2264104;North America
Japan;JPN;1984;77,5;23548;120470736;Asia
Jordan;JOR;1984;67,9;7599;2629947;Asia
Kazakhstan;KAZ;1984;63,9;11553;15147590;Asia
Kenya;KEN;1984;60,8;1594;18753178;Africa
Kuwait;KWT;1984;72,6;14384;1813998;Asia
Kyrgyzstan;KGZ;1984;62,6;5952;3997749;Asia
Laos;LAO;1984;50,5;1344;3639964;Asia
Latvia;LVA;1984;69,1;14682;2640609;Europe
Lebanon;LBN;1984;60,3;4828;3163561;Asia
Lesotho;LSO;1984;58,6;1589;1573278;Africa
Liberia;LBR;1984;45,4;3443;2174201;Africa
Libya;LBY;1984;66,9;5695;3564551;Africa
Lithuania;LTU;1984;70,3;13796;3643842;Europe
Luxembourg;LUX;1984;73,2;27303;365787;Europe
Madagascar;MDG;1984;49,5;1305;10015022;Africa
Malawi;MWI;1984;45,6;925;7338998;Africa
Malaysia;MYS;1984;69,9;6867;14686459;Asia
Mali;MLI;1984;42,7;1084;8030108;Africa
Malta;MLT;1984;73;9797;346094;Europe
Mauritania;MRT;1984;57,2;1486;1695676;Africa
Mauritius;MUS;1984;67,2;7798;1011951;Africa
Mexico;MEX;1984;67,3;9777;73489648;North America
Moldova;MDA;1984;65,7;10508;4259960;Europe
Mongolia;MNG;1984;56,7;1940;1871654;Asia
Montenegro;MNE;1984;72,9;7828;601826;Europe
Morocco;MAR;1984;58,5;3657;21817268;Africa
Mozambique;MOZ;1984;38,4;1629;12426220;Africa
Myanmar;MMR;1984;55,5;1492;36159844;Asia
Namibia;NAM;1984;58,5;5539;1061999;Africa
Nepal;NPL;1984;50,2;1152;17141612;Asia
Netherlands;NLD;1984;76,3;23750;14441930;Europe
New Zealand;NZL;1984;74,4;21783;3250341;Oceania
Nicaragua;NIC;1984;56,1;3308;3674509;North America
Niger;NER;1984;40,1;956;6973850;Africa
Nigeria;NGA;1984;46,6;1527;81337552;Africa
North Macedonia;MKD;1984;70;10007;1988692;Europe
Norway;NOR;1984;76,2;26321;4140232;Europe
Oman;OMN;1984;65,3;9526;1273313;Asia
Pakistan;PAK;1984;59,3;2106;94003880;Asia
Palestine;PSE;1984;64,8;4807;1674190;Asia
Panama;PAN;1984;70,5;7192;2147580;North America
Paraguay;PRY;1984;66;4945;3437897;South America
Peru;PER;1984;60,5;5859;19285646;South America
Philippines;PHL;1984;63,1;3469;53514960;Asia
Poland;POL;1984;70,6;9006;36876560;Europe
Portugal;PRT;1984;72,9;12894;9974817;Europe
Puerto Rico;PRI;1984;73,5;13201;3374438;North America
Qatar;QAT;1984;72,2;20354;348255;Asia
Romania;ROU;1984;69,6;6295;22465040;Europe
Russia;RUS;1984;66,5;12379;141892544;Europe
Rwanda;RWA;1984;51,6;1597;6056736;Africa
Saint Lucia;LCA;1984;70,4;3403;130640;North America
Sao Tome and Principe;STP;1984;59,5;2447;104514;Africa
Saudi Arabia;SAU;1984;65,7;16343;12310362;Asia
Senegal;SEN;1984;52;1989;6341803;Africa
Serbia;SRB;1984;68,5;10866;7889240;Europe
Seychelles;SYC;1984;67,6;6030;67363;Africa
Sierra Leone;SLE;1984;43,9;1608;3666263;Africa
Singapore;SGP;1984;73,1;16767;2624375;Asia
Slovenia;SVN;1984;70,8;20650;1945148;Europe
South Africa;ZAF;1984;61,9;6672;32768206;Africa
South Korea;KOR;1984;68,6;8303,518555;40664360;Asia
Spain;ESP;1984;76,5;14308;38329928;Europe
Sri Lanka;LKA;1984;70,6;3387;15872577;Asia
Sweden;SWE;1984;76,8;25357;8371284;Europe
Switzerland;CHE;1984;76,8;28315,08203;6441452;Europe
Syria;SYR;1984;68,9;9792;10183141;Asia
Taiwan;TWN;1984;73,1;10394;19249256;Asia
Tajikistan;TJK;1984;60,1;5469;4529500;Asia
Tanzania;TZA;1984;51,5;870;21857182;Africa
Thailand;THA;1984;66,7;4720;49636732;Asia
Togo;TGO;1984;53,1;1239;3232246;Africa
Trinidad and Tobago;TTO;1984;67,6;17680;1184752;North America
Tunisia;TUN;1984;66,8;4890;7279157;Africa
Turkey;TUR;1984;64,7;6736;48106772;Asia
Turkmenistan;TKM;1984;62,3;6314;3162167;Asia
Uganda;UGA;1984;43,8;897;14617950;Africa
Ukraine;UKR;1984;68,9;9476;50758848;Europe
United Arab Emirates;ARE;1984;70,5;32135;1308339;Asia
United Kingdom;GBR;1984;74,7;21869;56568252;Europe
United States;USA;1984;74,7;32076;232766288;North America
Uruguay;URY;1984;71,8;8805;3008263;South America
Uzbekistan;UZB;1984;64;7189;17594368;Asia
Venezuela;VEN;1984;70,4;13597;16953240;South America
Vietnam;VNM;1984;67,3;1420;58406864;Asia
Yemen;YEM;1984;54,9;3861;10625686;Asia
Zambia;ZMB;1984;52,8;1269;6488077;Africa
Zimbabwe;ZWE;1984;61,1;2067;8398574;Africa
Afghanistan;AFG;1985;33,6;1304;10512220;Asia
Albania;ALB;1985;71,7;3846;3171727;Europe
Algeria;DZA;1985;63,6;5469;22132910;Africa
Angola;AGO;1985;42,6;1242;9970631;Africa
Argentina;ARG;1985;69,7;10895;30287120;South America
Armenia;ARM;1985;67,9;10485;3300901;Asia
Australia;AUS;1985;75,4;24927;15785685;Oceania
Austria;AUT;1985;74;23514;7562114;Europe
Azerbaijan;AZE;1985;62,1;8558;6891144;Asia
Bahrain;BHR;1985;72,1;6972;434387;Asia
Bangladesh;BGD;1985;53,9;925;95959104;Asia
Barbados;BRB;1985;72,5;11848;257917;North America
Belarus;BLR;1985;70;11000;10133217;Europe
Belgium;BEL;1985;74,5;23873;9880540;Europe
Benin;BEN;1985;50,4;1886;4419558;Africa
Bolivia;BOL;1985;53,4;3476;6385634;South America
Bosnia and Herzegovina;BIH;1985;70,8;6875;4383311;Europe
Botswana;BWA;1985;62,6;3301;1138713;Africa
Brazil;BRA;1985;64,2;7862;136783184;South America
Bulgaria;BGR;1985;71,1;9924;8917080;Europe
Burkina Faso;BFA;1985;48,9;1243;7979187;Africa
Burundi;BDI;1985;48,5;1057;4948031;Africa
Cambodia;KHM;1985;51;1540;7376090;Asia
Cameroon;CMR;1985;53,9;2585;9804266;Africa
Canada;CAN;1985;76,3;28025;25843920;North America
Cape Verde;CPV;1985;62,2;1742;339890;Africa
Central African Republic;CAF;1985;50,5;1148;2553074;Africa
Chad;TCD;1985;45;642;4967592;Africa
Chile;CHL;1985;71,2;8024;12326395;South America
China;CHN;1985;66,6;2619;1060240000;Asia
Colombia;COL;1985;66,3;6809;29326256;South America
Comoros;COM;1985;53,5;1162;375661;Africa
Congo;COG;1985;57,5;4484;2062565;Africa
Costa Rica;CRI;1985;75,1;6918;2771467;North America
Cote d'Ivoire;CIV;1985;53,2;2735;9964075;Africa
Croatia;HRV;1985;70,9;14067;4803331;Europe
Cuba;CUB;1985;73,6;5120;10149048;North America
Cyprus;CYP;1985;72,6;11725;731670;Europe
Czechia;CZE;1985;71,1;12855;10302326;Europe
Democratic Republic of Congo;COD;1985;46,6;909;30800062;Africa
Denmark;DNK;1985;74,5;27710;5119453;Europe
Djibouti;DJI;1985;54,1;2880;400717;Africa
Dominica;DMA;1985;71,3;2872;71613;North America
Dominican Republic;DOM;1985;64,1;3653;6417803;North America
Ecuador;ECU;1985;65,8;6433;9254308;South America
Egypt;EGY;1985;60,5;3939;50035844;Africa
El Salvador;SLV;1985;57;3366;4876757;North America
Equatorial Guinea;GNQ;1985;49,7;2662;378386;Africa
Estonia;EST;1985;69,2;16541;1525790;Europe
Eswatini;SWZ;1985;60,8;2812;702409;Africa
Ethiopia;ETH;1985;37,4;880;40285960;Africa
Finland;FIN;1985;74,4;23148;4902179;Europe
France;FRA;1985;75,3;24755;55108104;Europe
Gabon;GAB;1985;59,3;8131;856481;Africa
Gambia;GMB;1985;48,2;1451;855965;Africa
Georgia;GEO;1985;68,4;13868;5338865;Asia
Germany;DEU;1985;74,5;24133;77638808;Europe
Ghana;GHA;1985;52,4;1559;13651444;Africa
Greece;GRC;1985;76,1;14850;9840144;Europe
Guatemala;GTM;1985;60,2;5292;7932187;North America
Guinea;GIN;1985;45,5;821;5531667;Africa
Guinea-Bissau;GNB;1985;45,1;1184;900091;Africa
Haiti;HTI;1985;51,5;1776;6245542;North America
Honduras;HND;1985;63;2982;4387696;North America
Hong Kong;HKG;1985;76,6;20883;5411686;Asia
Hungary;HUN;1985;68,9;10452;10542756;Europe
Iceland;ISL;1985;77,2;25990;241589;Europe
India;IND;1985;56,3;1720;780242112;Asia
Indonesia;IDN;1985;61,3;3143;165791696;Asia
Iran;IRN;1985;61,9;6853;47266160;Asia
Iraq;IRQ;1985;60,7;6268;15753858;Asia
Ireland;IRL;1985;73,6;14834;3505781;Europe
Israel;ISR;1985;75,3;18605;4182689;Asia
Italy;ITA;1985;75,6;22469;56636468;Europe
Jamaica;JAM;1985;70,5;4814;2292036;North America
Japan;JPN;1985;77,8;24437;121119024;Asia
Jordan;JOR;1985;68,3;7578;2751501;Asia
Kazakhstan;KAZ;1985;64,2;11545;15413315;Asia
Kenya;KEN;1985;60,6;1604;19452160;Africa
Kuwait;KWT;1985;73,1;13015;1888982;Asia
Kyrgyzstan;KGZ;1985;63,2;5616;4064857;Asia
Laos;LAO;1985;51,1;1382;3741609;Asia
Latvia;LVA;1985;69;14273;2655099;Europe
Lebanon;LBN;1985;60,5;5895;3226746;Asia
Lesotho;LSO;1985;59,1;1600;1616700;Africa
Liberia;LBR;1985;44,7;3269;2239733;Africa
Libya;LBY;1985;67,3;6092;3684318;Africa
Lithuania;LTU;1985;70,3;13287;3672853;Europe
Luxembourg;LUX;1985;73,7;28032;366471;Europe
Madagascar;MDG;1985;49,6;1296;10297741;Africa
Malawi;MWI;1985;44,9;966;7625083;Africa
Malaysia;MYS;1985;70,3;6626;15108141;Asia
Mali;MLI;1985;43,2;1089;8187658;Africa
Malta;MLT;1985;73,1;10176;349122;Europe
Mauritania;MRT;1985;57,6;1502;1746270;Africa
Mauritius;MUS;1985;67,4;8265;1025777;Africa
Mexico;MEX;1985;67,9;9785;74872008;North America
Moldova;MDA;1985;65,7;9398;4300695;Europe
Mongolia;MNG;1985;56,8;2004;1919755;Asia
Montenegro;MNE;1985;74;7804;604622;Europe
Morocco;MAR;1985;59,3;3784;22335078;Africa
Mozambique;MOZ;1985;38,7;1466;12680070;Africa
Myanmar;MMR;1985;55,6;1506;36881024;Asia
Namibia;NAM;1985;59;5396;1093318;Africa
Nepal;NPL;1985;50,9;1194;17540576;Asia
Netherlands;NLD;1985;76,4;24361;14515705;Europe
New Zealand;NZL;1985;73,9;21780;3268360;Oceania
Nicaragua;NIC;1985;56,5;3107;3763036;North America
Niger;NER;1985;40;950;7187622;Africa
Nigeria;NGA;1985;46,3;1621;83585256;Africa
North Macedonia;MKD;1985;70,1;9894;2001507;Europe
Norway;NOR;1985;75,9;27608;4152640;Europe
Oman;OMN;1985;66,3;10433;1353298;Asia
Pakistan;PAK;1985;59,4;2230;97121552;Asia
Palestine;PSE;1985;65,4;4619;1731093;Asia
Panama;PAN;1985;70,7;7404;2197070;North America
Paraguay;PRY;1985;66,3;4994;3535505;South America
Peru;PER;1985;61,3;5844;19746614;South America
Philippines;PHL;1985;63,5;3135;54812656;Asia
Poland;POL;1985;70,4;9022;37179164;Europe
Portugal;PRT;1985;73,2;13240;9996891;Europe
Puerto Rico;PRI;1985;73,1;13345;3406278;North America
Qatar;QAT;1985;72,4;16558;365881;Asia
Romania;ROU;1985;69;6260;22525364;Europe
Russia;RUS;1985;67;12475;142896384;Europe
Rwanda;RWA;1985;51,7;1621;6266756;Africa
Saint Lucia;LCA;1985;70,1;3606;132770;North America
Sao Tome and Principe;STP;1985;59,8;2622;106624;Africa
Saudi Arabia;SAU;1985;66,3;14422;12890250;Asia
Senegal;SEN;1985;52,8;2000;6520707;Africa
Serbia;SRB;1985;68,9;10839;7912073;Europe
Seychelles;SYC;1985;68;6585;67854;Africa
Sierra Leone;SLE;1985;43,9;1610;3749425;Africa
Singapore;SGP;1985;73,7;16611;2685987;Asia
Slovakia;SVK;1985;70,7;11815;5146573;Europe
Slovenia;SVN;1985;71,2;20663;1952526;Europe
South Africa;ZAF;1985;62,4;6385;33752964;Africa
South Korea;KOR;1985;68,7;8859,355469;41232700;Asia
Spain;ESP;1985;76,4;14690;38471924;Europe
Sri Lanka;LKA;1985;71;3484;16092339;Asia
Sweden;SWE;1985;76,7;25805;8389918;Europe
Switzerland;CHE;1985;76,9;29416,75195;6469830;Europe
Syria;SYR;1985;68,8;10026;10540930;Asia
Taiwan;TWN;1985;73,4;10779;19511876;Asia
Tajikistan;TJK;1985;60,4;5364;4660608;Asia
Tanzania;TZA;1985;51,6;843;22569634;Africa
Thailand;THA;1985;67,6;4862;50594932;Asia
Togo;TGO;1985;53,4;1240;3336512;Africa
Trinidad and Tobago;TTO;1985;67,5;16671;1199791;North America
Tunisia;TUN;1985;67,6;5039;7476095;Africa
Turkey;TUR;1985;65,2;6958;49175680;Asia
Turkmenistan;TKM;1985;62,5;6186;3246888;Asia
Uganda;UGA;1985;45,4;886;15038924;Africa
Ukraine;UKR;1985;69;9387;50917392;Europe
United Arab Emirates;ARE;1985;70,7;29562;1379543;Asia
United Kingdom;GBR;1985;74,5;22579;56643040;Europe
United States;USA;1985;74,6;33023;235146176;North America
Uruguay;URY;1985;72,1;8901;3024214;South America
Uzbekistan;UZB;1985;64,3;7181;18063210;Asia
Venezuela;VEN;1985;70,6;13270;17402310;South America
Vietnam;VNM;1985;67,6;1471;59811316;Asia
Yemen;YEM;1985;55,7;3717;11036921;Asia
Zambia;ZMB;1985;51,9;1250;6686453;Africa
Zimbabwe;ZWE;1985;61,6;2128;8690516;Africa
Afghanistan;AFG;1986;39,4;1344;10448447;Asia
Albania;ALB;1986;71,9;3870;3207129;Europe
Algeria;DZA;1986;65,2;5262;22882560;Africa
Angola;AGO;1986;42,8;1106;10332577;Africa
Argentina;ARG;1986;70,1;11515;30748332;South America
Armenia;ARM;1986;68,2;10394;3327186;Asia
Australia;AUS;1986;76,1;25116;16012299;Oceania
Austria;AUT;1986;74,5;24039;7567247;Europe
Azerbaijan;AZE;1986;62,2;8663;7009132;Asia
Bahrain;BHR;1986;72,3;6880;450202;Asia
Bangladesh;BGD;1986;54,4;944;98271752;Asia
Barbados;BRB;1986;72,6;12404;258377;North America
Belarus;BLR;1986;70,6;11230;10201675;Europe
Belgium;BEL;1986;74,7;24221;9887822;Europe
Benin;BEN;1986;51,1;1867;4551384;Africa
Bolivia;BOL;1986;53,9;3306;6521990;South America
Bosnia and Herzegovina;BIH;1986;71,2;7066;4413378;Europe
Botswana;BWA;1986;62,7;3432;1179266;Africa
Brazil;BRA;1986;64,6;8281;139643360;South America
Bulgaria;BGR;1986;71,6;10170;8892099;Europe
Burkina Faso;BFA;1986;49;1400;8207833;Africa
Burundi;BDI;1986;48,2;1078;5041711;Africa
Cambodia;KHM;1986;51,5;1578;7661320;Asia
Cameroon;CMR;1986;54;2683;10112711;Africa
Canada;CAN;1986;76,5;28472;26116076;North America
Cape Verde;CPV;1986;62,7;1766;344284;Africa
Central African Republic;CAF;1986;50,5;1162;2583635;Africa
Chad;TCD;1986;45,2;662;5118163;Africa
Chile;CHL;1986;71,8;8325;12514509;South America
China;CHN;1986;67;2748;1077770496;Asia
Colombia;COL;1986;68,3;7071;29960106;South America
Comoros;COM;1986;54;1157;386072;Africa
Congo;COG;1986;57,6;4058;2124873;Africa
Costa Rica;CRI;1986;75,5;7087;2847855;North America
Cote d'Ivoire;CIV;1986;53,2;2718;10309440;Africa
Croatia;HRV;1986;71,3;14416;4828686;Europe
Cuba;CUB;1986;73,7;5075;10235476;North America
Cyprus;CYP;1986;72,7;12121;743451;Europe
Czechia;CZE;1986;71,1;13211;10302678;Europe
Democratic Republic of Congo;COD;1986;46,9;923;31725136;Africa
Denmark;DNK;1986;74,6;28681;5119368;Europe
Djibouti;DJI;1986;54,5;2743;424292;Africa
Dominica;DMA;1986;71,3;3107;71233;North America
Dominican Republic;DOM;1986;64,7;3682;6554326;North America
Ecuador;ECU;1986;66,5;6452;9490096;South America
Egypt;EGY;1986;61,3;3921;51424316;Africa
El Salvador;SLV;1986;57,7;3327;4970790;North America
Equatorial Guinea;GNQ;1986;50;2534;397281;Africa
Estonia;EST;1986;70,3;16866;1536031;Europe
Eswatini;SWZ;1986;61,4;3210;730156;Africa
Ethiopia;ETH;1986;37,8;920;41455312;Africa
Finland;FIN;1986;74,8;23621;4918174;Europe
France;FRA;1986;75,6;25238;55371640;Europe
Gabon;GAB;1986;59,6;7818;880344;Africa
Gambia;GMB;1986;48,7;1422;888988;Africa
Georgia;GEO;1986;68,4;13839;5377678;Asia
Germany;DEU;1986;74,7;24657;77803352;Europe
Ghana;GHA;1986;53,1;1575;13971683;Africa
Greece;GRC;1986;76,5;15047;9936729;Europe
Guatemala;GTM;1986;60,8;5136;8148187;North America
Guinea;GIN;1986;45,9;819;5671383;Africa
Guinea-Bissau;GNB;1986;45,4;1146;914138;Africa
Haiti;HTI;1986;51,9;1729;6375104;North America
Honduras;HND;1986;63,6;2898;4515574;North America
Hong Kong;HKG;1986;76,8;22823;5492797;Asia
Hungary;HUN;1986;69,1;10678;10505773;Europe
Iceland;ISL;1986;78;27439;243367;Europe
India;IND;1986;56,8;1755;797878976;Asia
Indonesia;IDN;1986;61,7;3269;169135280;Asia
Iran;IRN;1986;62,5;5984;48913236;Asia
Iraq;IRQ;1986;60,9;5992;16148228;Asia
Ireland;IRL;1986;73,6;14768;3515672;Europe
Israel;ISR;1986;75,1;19160;4295413;Asia
Italy;ITA;1986;75,9;23106;56639056;Europe
Jamaica;JAM;1986;70,7;4884;2315874;North America
Japan;JPN;1986;78,2;24992;121710304;Asia
Jordan;JOR;1986;68,6;7973;2879812;Asia
Kazakhstan;KAZ;1986;64,5;11576;15721289;Asia
Kenya;KEN;1986;60,2;1658;20160886;Africa
Kuwait;KWT;1986;73,6;13509;1968093;Asia
Kyrgyzstan;KGZ;1986;63,5;5413;4132792;Asia
Laos;LAO;1986;51,7;1409;3848392;Asia
Latvia;LVA;1986;70,3;14539;2668865;Europe
Lebanon;LBN;1986;61;5400;3308021;Asia
Lesotho;LSO;1986;59,5;1645;1659800;Africa
Liberia;LBR;1986;45;3129;2305870;Africa
